external_id__v,Presentation Link,slide.related_shared_resource__v,Type,lifecycle__v,name__v,pres.crm_presentation_id__v,slide.filename,pres.title__v,slide.title__v,pres.product__v.name__v,slide.product__v.name__v,pres.country__v.name__v,slide.country__v.name__v,pres.clm_content__v,slide.clm_content__v,slide.engage_content__v,slide.crm_media_type__v,slide.crm_shared_resource__v,pres.crm_hidden__v
KNG-CV-KENGREAL-Shared,,,Shared,CRM Content Lifecycle,KNG-CV-KENGREAL-Shared,,KNG-CV-KENGREAL-Shared.zip,,KENGREAL Shared,,Kengreal,,United States,,YES,NO,,TRUE,
KNG-CV-KENGREAL-IVA,,,Presentation,Binder Lifecycle,KENGREAL,KNG-CV-KENGREAL-IVA,,KENGREAL,,Kengreal,,United States,,YES,,,,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-P2Y12_Inhibitor-A05,,KNG-CV-KENGREAL-P2Y12_Inhibitor-A05.zip,,PK/PD,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-PK_PD-A10,,KNG-CV-KENGREAL-PK_PD-A10.zip,,PK/PD,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-Developed_for_PCI-A15,,KNG-CV-KENGREAL-Developed_for_PCI-A15.zip,,Developed for PCI,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-22_percent_A20,,KNG-CV-KENGREAL-22_percent_A20.zip,,Efficacy,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-38_percent-A25,,KNG-CV-KENGREAL-38_percent-A25.zip,,38%,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-Time_to_Events-A30,,KNG-CV-KENGREAL-Time_to_Events-A30.zip,,Time to Events,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-Bleeding-A35,,KNG-CV-KENGREAL-Bleeding-A35.zip,,Safety,,Kengreal,,United States,,YES,NO,HTML,,
,KNG-CV-KENGREAL-IVA,KNG-CV-KENGREAL-Shared,Slide,CRM Content Lifecycle,KNG-CV-KENGREAL-Dosing_Overview-A40,,KNG-CV-KENGREAL-Dosing_Overview-A40.zip,,Dosing,,Kengreal,,United States,,YES,NO,HTML,,
